AOL,Course Code,Course Name,Exam Board,KS,Label,Provider,School,School Id,Subject2,Year,Pupils
ST,500/7832/X,Pearson BTEC Level 2 Certificate for IT Users (ITQ) (QCF),Pearson,4,A,Own School,St Columbanus' College,4230107,ICT,11,54
ST,500/7832/X,Pearson BTEC Level 2 Certificate for IT Users (ITQ) (QCF),Pearson,4,A,Own School,Bangor Academy & Sixth Form College,4210296,ICT,11,41
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Nendrum College,4210045,ICT,11,18
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Priory Integrated College,4250024,ICT,11,19
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Rathfriland High,5210127,ICT,11,19
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Devenish College,2210312,ICT,11,27
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,New-Bridge Integrated College,5260285,ICT,11,45
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Parkhall College,3250207,ICT,11,15
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Lisneal College,2210306,ICT,11,66
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Glastry College,4210046,ICT,11,48
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Holy Trinity College,5230278,ICT,11,65
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,St Brigid's College (Derry),2230225,ICT,11,21
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,St Kevin's College,2230322,ICT,11,11
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,St Joseph's College (Coalisland),5230192,ICT,11,17
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Lismore Comprehensive,5230213,ICT,11,95
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Banbridge High,5210047,ICT,11,69
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Edmund Rice College,3230203,ICT,11,48
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Dundonald High School,4210262,ICT,11,39
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Ashfield Boys' High School,1210015,ICT,11,129
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Sacred Heart College,2230298,ICT,11,68
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,St Mary's High School (Downpatrick),4230023,ICT,11,19
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,St Joseph's Boys' High (Newry),5230056,ICT,11,24
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Coleraine Grammar School,3420317,ICT,11,35
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,De La Salle High School,4230224,ICT,11,45
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,City of Armagh High School,5210121,ICT,11,12
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,St Mary's College (Irvinestown),2230109,ICT,11,17
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Integrated College Dungannon,5260286,ICT,11,44
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Craigavon Senior High School,5210282,ICT,11,154
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Lagan College,4260255,ICT,11,34
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Markethill High,5210083,ICT,11,22
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,St Louise's Comprehensive College,1230053,ICT,11,16
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Fivemiletown College,5210097,ICT,11,10
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,St Patrick's College (Banbridge),5230076,ICT,11,40
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Brownlow College,5250216,ICT,11,20
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,St Patrick's College,3230084,ICT,11,23
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Strangford College,4260295,ICT,11,57
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Fort Hill Integrated College,4250072,ICT,11,20
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Abbey Community College,3210313,ICT,11,38
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Patrick's Academy (Lisburn),4230165,ICT,12,14
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Louis' Grammar School,5420045,ICT,12,19
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Larne High School,3210038,ICT,12,39
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Lisnagarvey High School,4210051,ICT,12,105
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Malone College,1260294,ICT,12,22
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Mark's High,5230135,ICT,12,46
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Columba's College,4230067,ICT,12,17
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Mary's High (Newry),5230108,ICT,12,18
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Dromore High,5210064,ICT,12,46
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Colman's High School,4230161,ICT,12,15
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Paul's High (Bessbrook),5230157,ICT,12,33
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Drumglass High,5210231,ICT,12,22
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Joseph's College,1230275,ICT,12,25
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Genevieve's High,1230155,ICT,12,51
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Mary's Limavady,2230077,ICT,12,62
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Magherafelt High School,3210035,ICT,12,21
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Limavady High School,2210302,ICT,12,106
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Ashfield Girls' High School,1210014,ICT,12,54
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Ulidia Integrated College,3260299,ICT,12,15
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Dunluce School,3210222,ICT,12,33
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Holy Cross College,2230301,ICT,12,36
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Priory Integrated College,4250024,ICT,12,23
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Blackwater Integrated College,4260309,ICT,12,15
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Joseph's High (Crossmaglen),5230167,ICT,12,10
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,De La Salle College,1230182,ICT,12,8
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Cookstown High,5210230,ICT,12,12
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Abbey Community College,3210313,ICT,12,132
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Ronan's College,5420314,ICT,12,90
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Belfast Boys' Model School,1210022,ICT,12,72
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Ballymoney High School,3210133,ICT,12,103
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Mary's Christian Brothers' Grammar School,1420021,ICT,12,21
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Movilla High School,4210012,ICT,12,9
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Joseph's Boys' School,2230131,ICT,12,51
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Lismore Comprehensive,5230213,ICT,12,22
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Sacred Heart College,2230298,ICT,12,21
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Craigavon Senior High School,5210282,ICT,12,57
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Dean Maguirc College,2230138,ICT,12,47
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Blessed Trinity College,1230321,ICT,12,63
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Ciaran's College,5230152,ICT,12,6
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Our Lady of Lourdes High School,3230075,ICT,12,18
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Saintfield High School,4210063,ICT,12,16
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Patrick's College (Dungannon),5230293,ICT,12,25
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Lagan College,4260255,ICT,12,13
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Wellington College,1410270,ICT,12,16
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Joseph's College (Enniskillen),2230100,ICT,12,3
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,All Saints College,1230324,ICT,12,90
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Patrick's College (Dungiven),2230144,ICT,12,22
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Colmcille's High School,4230102,ICT,12,19
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Rathfriland High,5210127,ICT,12,14
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Hazelwood Integrated College,1260269,ICT,12,27
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Patrick's Grammar (Armagh),5420268,ICT,12,16
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Strabane Academy,2410311,ICT,12,35
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Aughnacloy College,5210153,ICT,12,17
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,City of Armagh High School,5210121,ICT,12,12
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Kevin's College,2230322,ICT,12,13
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Conor's College,3230318,ICT,12,23
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Coleraine College,3210300,ICT,12,11
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Breda Academy,4210316,ICT,12,13
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Dominican College,3420068,ICT,12,12
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Patrick's College,3230234,ICT,12,11
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Benedict's College,3230308,ICT,12,16
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Fort Hill Integrated College,4250072,ICT,12,11
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Belfast Model School for Girls,1210021,ICT,12,128
ST,600/1062/9,OCR Level 2 Extended Certificate in IT User Skills (ITQ) (QCF),OCR,4,A,Own School,St Patrick's & St Brigid's College,2230122,ICT,12,20
ST,500/6743/6,OCR Level 2 ITQ Certificate in IT User Skills (QCF),OCR,4,A,Own School,St Colm's High School (Twinbrook),4230223,ICT,12,23
ST,500/6743/6,OCR Level 2 ITQ Certificate in IT User Skills (QCF),OCR,4,A,Own School,Mercy College,1230104,ICT,12,39
ST,600/6071/2,Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology,Pearson,4,A,Own School,St Benedict's College,3230308,ICT,12,22
ST,600/6071/2,Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology,Pearson,4,A,Own School,Cookstown High,5210230,ICT,12,46
ST,600/6071/2,Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology,Pearson,4,A,Own School,Blackwater Integrated College,4260309,ICT,12,8
ST,600/6071/2,Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology,Pearson,4,A,Own School,Hazelwood Integrated College,1260269,ICT,12,53
ST,600/6071/2,Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology,Pearson,4,A,Own School,Carrickfergus Academy,3210323,ICT,12,37
ST,500/7832/X,Pearson BTEC Level 2 Certificate for IT Users (ITQ) (QCF),Pearson,4,A,Own School,Glengormley High School,3210202,ICT,12,53
ST,500/7832/X,Pearson BTEC Level 2 Certificate for IT Users (ITQ) (QCF),Pearson,4,A,Own School,Bangor Academy & Sixth Form College,4210296,ICT,12,31
ST,500/7832/X,Pearson BTEC Level 2 Certificate for IT Users (ITQ) (QCF),Pearson,4,A,Own School,St Columbanus' College,4230107,ICT,12,54
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,Ashfield Boys' High School,1210015,ICT,12,114
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,St Joseph's Boys' High (Newry),5230056,ICT,12,12
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,St Mary's College (Derry),2230081,ICT,12,9
ST,600/4789/6,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,Pearson,4,A,Own School,St Mary's High School (Downpatrick),4230023,ICT,12,17
