id,id_raw,name,city,county,postcode,status,type
5210230,521-0230,Cookstown High School,COOKSTOWN,TYRONE,BT80 8PQ,Controlled,Secondary
5210231,521-0231,Drumglass High School,DUNGANNON,TYRONE,BT71 4AA,Controlled,Secondary
5210271,521-0271,Lurgan Junior High,LURGAN,ARMAGH,BT66 8SU,Controlled,Secondary
5210282,521-0282,Craigavon Senior High School,PORTADOWN,ARMAGH,BT63 5HJ,Controlled,Secondary
5230056,523-0056,St Joseph's Boys' High School,NEWRY,DOWN,BT35 6DH,Roman Catholic Maintained,Secondary
5230076,523-0076,St Patrick's College,BANBRIDGE,DOWN,BT32 3AS,Roman Catholic Maintained,Secondary
5230108,523-0108,St Mary's High School,NEWRY,DOWN,BT34 2DT,Roman Catholic Maintained,Secondary
5230135,523-0135,St Mark's High School,NEWRY,DOWN,BT34 3PN,Roman Catholic Maintained,Secondary
5230152,523-0152,St Ciaran's College,DUNGANNON,TYRONE,BT70 2LY,Roman Catholic Maintained,Secondary
5230157,523-0157,St Paul's High School,NEWRY,DOWN,BT35 7EE,Roman Catholic Maintained,Secondary
5230167,523-0167,St Joseph's High School,NEWRY,DOWN,BT35 9HL,Roman Catholic Maintained,Secondary
5230187,523-0187,St Patrick's High School,KEADY,ARMAGH,BT60 3TH,Roman Catholic Maintained,Secondary
5230192,523-0192,St Joseph's College,DUNGANNON,TYRONE,BT71 4NW,Roman Catholic Maintained,Secondary
5230213,523-0213,Lismore Comprehensive School,CRAIGAVON,ARMAGH,BT65 5DU,Roman Catholic Maintained,Secondary
5230218,523-0218,St Catherine's College,ARMAGH,ARMAGH,BT60 4BG,Roman Catholic Maintained,Secondary
5230278,523-0278,Holy Trinity College,COOKSTOWN,TYRONE,BT80 8QB,Roman Catholic Maintained,Secondary
5230293,523-0293,St Patrick's College,DUNGANNON,TYRONE,BT71 6LJ,Roman Catholic Maintained,Secondary
5230321,523-0321,St John the Baptist College,ARMAGH,ARMAGH,BT62 1QQ,Roman Catholic Maintained,Secondary
5250216,525-0216,Brownlow Int College,CRAIGAVON,ARMAGH,BT65 5BS,Controlled Integrated,Secondary
5260285,526-0285,New-Bridge Integrated College,BANBRIDGE,DOWN,BT32 3LN,Grant Maintained Integrated,Secondary
5260286,526-0286,Integrated College Dungannon,DUNGANNON,TYRONE,BT71 6LS,Grant Maintained Integrated,Secondary
