year,School,Label,AOL,Pupils,Provider,subject,course_name,course_code,school_id
13,Christian Brothers' Abbey Grammar School,G,ST,9,Own School,Computer Studies,WJEC Level 3 Advanced Subsidiary GCE in Computer Science,601/5391/X,5420059
13,Portadown College,G,ST,8,Own School,Computer Studies,WJEC Level 3 Advanced Subsidiary GCE in Computer Science,601/5391/X,5410067
13,Belfast High School,G,ST,7,Own School,Computer Studies,WJEC Level 3 Advanced Subsidiary GCE in Computer Science,601/5391/X,3420077
13,St Louis' Grammar School,G,ST,17,Own School,Computer Studies,WJEC Level 3 Advanced Subsidiary GCE in Computer Science,601/5391/X,3420010
13,Royal Belfast Academical Institution,G,ST,13,Own School,Computer Studies,WJEC Level 3 Advanced Subsidiary GCE in Computer Science,601/5391/X,1420027
13,Ballyclare High School (Grammar),G,ST,5,Own School,Computer Studies,WJEC Level 3 Advanced Subsidiary GCE in Computer Science,601/5391/X,3410008
13,Antrim Grammar School,G,ST,5,Own School,Computer Studies,WJEC Level 3 Advanced Subsidiary GCE in Computer Science,601/5391/X,3410209
13,"Our Lady and St Patrick's College, Knock",G,ST,12,Own School,Computer Studies,WJEC Level 3 Advanced Subsidiary GCE in Computer Science,601/5391/X,4420259
13,Rathmore,G,ST,15,Own School,Computer Studies,WJEC Level 3 Advanced Subsidiary GCE in Computer Science,601/5391/X,1420095
13,Assumption Grammar School,G,ST,5,Own School,Computer Studies,WJEC Level 3 Advanced Subsidiary GCE in Computer Science,601/5391/X,4420086
14,Sullivan Upper School,G,ST,4,Own School,Computer Studies,AQA Level 3 Advanced GCE in Computer Science,601/4569/9,4420044
14,Dalriada School,G,ST,3,Own School,Computer Studies,AQA Level 3 Advanced GCE in Computer Science,601/4569/9,3420012
14,St Patrick's Grammar (Downpatrick),G,ST,3,Own School,Computer Studies,AQA Level 3 Advanced GCE in Computer Science,601/4569/9,4420088
14,"Royal School, Dungannon",G,ST,4,Own School,Computer Studies,OCR Level 3 Advanced GCE in Computer Science,601/4911/5,5420260
14,St Mary's Christian Brothers' Grammar School,G,ST,19,Own School,Computer Studies,OCR Level 3 Advanced GCE in Computer Science,601/4911/5,1420021
14,Bangor Grammar School,G,ST,7,Own School,Computer Studies,OCR Level 3 Advanced GCE in Computer Science,601/4911/5,4420015
14,Antrim Grammar School,G,ST,1,Own School,Computer Studies,WJEC Level 3 Advanced GCE in Computer Science,601/5345/3,3410209
14,Christian Brothers' Abbey Grammar School,G,ST,9,Own School,Computer Studies,WJEC Level 3 Advanced GCE in Computer Science,601/5345/3,5420059
14,Assumption Grammar School,G,ST,4,Own School,Computer Studies,WJEC Level 3 Advanced GCE in Computer Science,601/5345/3,4420086
14,"Our Lady and St Patrick's College, Knock",G,ST,16,Own School,Computer Studies,WJEC Level 3 Advanced GCE in Computer Science,601/5345/3,4420259
14,Ballyclare High School (Grammar),G,ST,7,Own School,Computer Studies,WJEC Level 3 Advanced GCE in Computer Science,601/5345/3,3410008
14,Portadown College,G,ST,12,Own School,Computer Studies,WJEC Level 3 Advanced GCE in Computer Science,601/5345/3,5410067
14,St Louis' Grammar School,G,ST,11,Own School,Computer Studies,WJEC Level 3 Advanced GCE in Computer Science,601/5345/3,3420010
14,Rathmore,G,ST,8,Own School,Computer Studies,WJEC Level 3 Advanced GCE in Computer Science,601/5345/3,1420095
14,Campbell College,G,ST,4,Collaboration with other school,Computer Studies,WJEC Level 3 Advanced GCE in Computer Science,601/5345/3,1420020
14,Royal Belfast Academical Institution,G,ST,13,Own School,Computer Studies,WJEC Level 3 Advanced GCE in Computer Science,601/5345/3,1420027
14,Belfast High School,G,ST,5,Own School,Computer Studies,WJEC Level 3 Advanced GCE in Computer Science,601/5345/3,3420077
14,Strathearn School,G,ST,1,Collaboration with other school,Computer Studies,WJEC Level 3 Advanced GCE in Computer Science,601/5345/3,1420089
14,Aquinas Grammar,G,ST,10,Own School,Computer Studies,WJEC Level 3 Advanced GCE in Computer Science,601/5345/3,1420277
