,year,School,Course Name and Course Code,Label,AOL,Pupils,Provider,subject
48,11,Belfast Model School for Girls (1210021),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,61,Own School,ICT
49,11,Magherafelt High School (3210035),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,11,Own School,ICT
50,11,St Kevin's College (2230322),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,11,Own School,ICT
51,11,St Conor's College (3230318),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,9,Own School,ICT
52,11,Breda Academy (4210316),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,14,Own School,ICT
53,11,Dominican College (3420068),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,15,Own School,ICT
54,11,City of Armagh High School (5210121),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,17,Own School,ICT
55,11,St Patrick's College (3230234),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,27,Own School,ICT
56,11,St Paul's High (Bessbrook) (5230157),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,46,Own School,ICT
57,11,Strabane Academy (2410311),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,31,Own School,ICT
58,11,St Benedict's College (3230308),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,20,Own School,ICT
59,11,Coleraine College (3210300),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,20,Own School,ICT
60,11,St Mary's Christian Brothers' Grammar School (1420021),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,12,Own School,ICT
61,11,Aughnacloy College (5210153),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,21,Own School,ICT
62,11,St John the Baptist College (5230321),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,30,Own School,ICT
63,11,Mercy College (1230104),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,13,Own School,ICT
64,11,St Fanchea's College (2230099),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,3,Collaboration with other school,ICT
65,11,Nendrum College (4210045),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,17,Own School,ICT
66,11,St Patrick's & St Brigid's College (2230122),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,17,Own School,ICT
67,11,St Colm's High School (Twinbrook) (4230223),OCR Level 2 ITQ Certificate in IT User Skills (QCF) (500/6743/6),A,ST,38,Own School,ICT
68,11,Blackwater Integrated College (4260309),Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology (600/6071/2),A,ST,12,Own School,ICT
69,11,Hazelwood Integrated College (1260269),Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology (600/6071/2),A,ST,52,Own School,ICT
70,11,St Colmcille's High School (4230102),Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology (600/6071/2),A,ST,20,Own School,ICT
71,11,Cookstown High (5210230),Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology (600/6071/2),A,ST,39,Own School,ICT
72,11,Carrickfergus Academy (3210323),Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology (600/6071/2),A,ST,35,Own School,ICT
73,11,Glengormley High School (3210202),Pearson BTEC Level 2 Certificate for IT Users (ITQ) (QCF) (500/7832/X),A,ST,74,Own School,ICT
74,11,Dromore High (5210064),Pearson BTEC Level 2 Certificate for IT Users (ITQ) (QCF) (500/7832/X),A,ST,24,Own School,ICT
75,11,St Columbanus' College (4230107),Pearson BTEC Level 2 Certificate for IT Users (ITQ) (QCF) (500/7832/X),A,ST,54,Own School,ICT
76,11,Bangor Academy & Sixth Form College (4210296),Pearson BTEC Level 2 Certificate for IT Users (ITQ) (QCF) (500/7832/X),A,ST,41,Own School,ICT
77,11,Nendrum College (4210045),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,18,Own School,ICT
78,11,Priory Integrated College (4250024),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,19,Own School,ICT
79,11,Rathfriland High (5210127),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,19,Own School,ICT
80,11,Devenish College (2210312),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,27,Own School,ICT
81,11,New-Bridge Integrated College (5260285),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,45,Own School,ICT
82,11,Parkhall College (3250207),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,15,Own School,ICT
83,11,Lisneal College (2210306),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,66,Own School,ICT
84,11,Glastry College (4210046),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,48,Own School,ICT
85,11,Holy Trinity College (5230278),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,65,Own School,ICT
86,11,St Brigid's College (Derry) (2230225),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,21,Own School,ICT
87,11,St Kevin's College (2230322),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,11,Own School,ICT
88,11,St Joseph's College (Coalisland) (5230192),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,17,Own School,ICT
89,11,Lismore Comprehensive (5230213),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,95,Own School,ICT
90,11,Banbridge High (5210047),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,69,Own School,ICT
91,11,Edmund Rice College (3230203),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,48,Own School,ICT
92,11,Dundonald High School (4210262),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,39,Own School,ICT
93,11,Ashfield Boys' High School (1210015),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,129,Own School,ICT
94,11,Sacred Heart College (2230298),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,68,Own School,ICT
95,11,St Mary's High School (Downpatrick) (4230023),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,19,Own School,ICT
96,11,St Joseph's Boys' High (Newry) (5230056),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,24,Own School,ICT
97,11,Coleraine Grammar School (3420317),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,35,Own School,ICT
98,11,De La Salle High School (4230224),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,45,Own School,ICT
99,11,City of Armagh High School (5210121),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,12,Own School,ICT
100,11,St Mary's College (Irvinestown) (2230109),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,17,Own School,ICT
101,11,Integrated College Dungannon (5260286),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,44,Own School,ICT
102,11,Craigavon Senior High School (5210282),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,154,Own School,ICT
103,11,Lagan College (4260255),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,34,Own School,ICT
104,11,Markethill High (5210083),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,22,Own School,ICT
105,11,St Louise's Comprehensive College (1230053),Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology (600/4789/6),A,ST,16,Own School,ICT
